id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho việc xử lý và khắc phục. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động được escalate lên Senior Engineer [1].",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Lexical grounding ~96% (25/26 tokens),5,Query term overlap ~50%,5,Retrieved: 1/1 expected sources,5,Expected-key coverage ~73% (8/11),variant_hybrid
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,"Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày kể từ thời điểm xác nhận đơn hàng [1], [4].",Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Lexical grounding ~100% (16/16 tokens),5,Query term overlap ~82%,5,Retrieved: 1/1 expected sources,5,Expected-key coverage ~89% (16/18),variant_hybrid
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, yêu cầu phải được phê duyệt bởi Line Manager trong bước 2 của quy trình yêu cầu cấp quyền [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,Lexical grounding ~90% (19/21 tokens),5,Query term overlap ~100%,5,Retrieved: 1/1 expected sources,4,Expected-key coverage ~50% (5/10),variant_hybrid
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền theo chính sách, cụ thể là các sản phẩm thuộc danh mục hàng kỹ thuật số như license key và subscription sẽ không đủ điều kiện hoàn tiền [3].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,Lexical grounding ~89% (25/28 tokens),5,Query term overlap ~100%,5,Retrieved: 1/1 expected sources,5,Expected-key coverage ~95% (20/21),variant_hybrid
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn có thể liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Lexical grounding ~95% (19/20 tokens),5,Query term overlap ~80%,5,Retrieved: 1/1 expected sources,5,Expected-key coverage ~100% (10/10),variant_hybrid
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Trong sự cố P1, quy trình escalation khẩn cấp diễn ra như sau: On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. Tất cả quyền tạm thời phải được ghi log vào hệ thống Security Audit [3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Lexical grounding ~94% (47/50 tokens),5,Query term overlap ~67%,5,Retrieved: 1/1 expected sources,4,Expected-key coverage ~44% (7/16),variant_hybrid
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tài liệu liên quan đến Approval Matrix để cấp quyền hệ thống là ""it/access-control-sop.md"", cụ thể là phần quy trình escalation khi cần thay đổi quyền hệ thống [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,4,Lexical grounding ~71% (17/24 tokens),5,Query term overlap ~88%,5,Retrieved: 1/1 expected sources,5,Expected-key coverage ~65% (11/17),variant_hybrid
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Không đủ thông tin trong tài liệu nội bộ đã cung cấp.,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",4,Lexical grounding ~78% (7/9 tokens),1,Query term overlap ~0%,5,Retrieved: 1/1 expected sources,1,Expected-key coverage ~0% (0/19),variant_hybrid
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu trong tài liệu nội bộ để trả lời câu hỏi này.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,Abstain without context,1,Query term overlap ~0%,,No expected sources,2,Expected-key coverage ~17% (4/24),variant_hybrid
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Quy trình hoàn tiền cho khách hàng VIP không được đề cập cụ thể trong tài liệu. Tuy nhiên, quy trình chung cho yêu cầu hoàn tiền được mô tả như sau: Khách hàng gửi yêu cầu qua hệ thống ticket nội bộ, CS Agent xem xét trong vòng 1 ngày làm việc, và nếu đủ điều kiện, chuyển yêu cầu sang Finance Team để xử lý trong 3-5 ngày làm việc [5]. Do đó, không có thông tin rõ ràng về việc quy trình có khác cho khách hàng VIP hay không.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",4,Lexical grounding ~83% (60/72 tokens),5,Query term overlap ~79%,5,Retrieved: 1/1 expected sources,5,Expected-key coverage ~58% (22/38),variant_hybrid
